Invalid,             "__NA__"
Untyped,             "__NA__"
NewLine,             "__NA__"
Comment,             "//"
Access_Private,      "private"
Access_Protected,    "protected"
Access_Public,       "public"
PlatformAttributes,  "__NA__"
Class,               "class"
Class_Fwd,           "clsss"
Class_Body,          "__NA__"
Constructor,         "__NA__"
Constructor_Fwd,     "__NA__"
Destructor,          "__NA__"
Destructor_Fwd,      "__NA__"
Enum,                "enum"
Enum_Fwd,            "enum"
Enum_Body,           "__NA__"
Enum_Class,          "enum class"
Enum_Class_Fwd,      "enum class"
Execution,           "__NA__"
Export_Body,         "__NA__"
Extern_Linkage,      "extern"
Extern_Linkage_Body, "extern"
Friend,              "friend"
Function,            "__NA__"
Function_Fwd,        "__NA__"
Function_Body,       "__NA__"
Global_Body,         "__NA__"
Module,              "module"
Namespace,           "namespace"
Namespace_Body,      "__NA__"
Operator,            "operator"
Operator_Fwd,        "operator"
Operator_Member,     "operator"
Operator_Member_Fwd, "operator"
Operator_Cast,       "operator"
Operator_Cast_Fwd,   "operator"
Parameters,          "__NA__"
Preprocess_Define,   "define"
Preprocess_Include,  "include"
Preprocess_If,       "if"
Preprocess_IfDef,    "ifdef"
Preprocess_IfNotDef, "ifndef"
Preprocess_ElIf,     "elif"
Preprocess_Else,     "else"
Preprocess_EndIf,    "endif"
Preprocess_Pragma,   "pragma"
Specifiers,          "__NA__"
Struct,              "struct"
Struct_Fwd,          "struct"
Struct_Body,         "__NA__"
Template,            "template"
Typedef,             "typedef"
Typename,            "__NA__"
Union,               "union"
Union_Fwd,           "union"
Union_Body,          "__NA__"
Using,               "using"
Using_Namespace,     "using namespace"
Variable,            "__NA__"
