Invalid,          INVALID
Consteval,        consteval
Constexpr,        constexpr
Constinit,        constinit
Explicit,         explicit
External_Linkage, extern
ForceInline, 	  forceinline
Global,           global
Inline,           inline
Internal_Linkage, internal
Local_Persist,    local_persist
Mutable,          mutable
NeverInline,      neverinline
Ptr,              *
Ref,              &
Register,         register
RValue,           &&
Static,           static
Thread_Local,     thread_local
Volatile,         volatile
Virtual,          virtual
Const,            const
Final,            final
Override,         override
Pure,             = 0
