Invalid,                "__invalid__"
Access_Private,         "private"
Access_Protected,       "protected"
Access_Public,          "public"
Access_MemberSymbol,    "."
Access_StaticSymbol,    "::"
Ampersand,              "&"
Ampersand_DBL,          "&&"
Assign_Classifer,       ":"
Attribute_Open,         "[["
Attribute_Close,        "]]"
BraceCurly_Open,        "{"
BraceCurly_Close,       "}"
BraceSquare_Open,       "["
BraceSquare_Close,      "]"
Capture_Start,          "("
Capture_End,            ")"
Comment,                "__comemnt__"
Comment_End,            "__comment_end__"
Comment_Start,          "__comment_start__"
Char,                   "__character__"
Comma,                  ","
Decl_Class,             "class"
Decl_GNU_Attribute,     "__attribute__"
Decl_MSVC_Attribute,    "__declspec"
Decl_Enum,              "enum"
Decl_Extern_Linkage,    "extern"
Decl_Friend,            "friend"
Decl_Module,            "module"
Decl_Namespace,         "namespace"
Decl_Operator,          "operator"
Decl_Struct,            "struct"
Decl_Template,          "template"
Decl_Typedef,           "typedef"
Decl_Using,             "using"
Decl_Union,             "union"
Identifier,             "__identifier__"
Module_Import,          "import"
Module_Export,          "export"
NewLine,                "__new_line__"
Number,                 "__number__"
Operator,               "__operator__"
Preprocess_Hash,        "#"
Preprocess_Define,      "define"
Preprocess_If,          "if"
Preprocess_IfDef,       "ifdef"
Preprocess_IfNotDef,    "ifndef"
Preprocess_ElIf,        "elif"
Preprocess_Else,        "else"
Preprocess_EndIf,       "endif"
Preprocess_Include,     "include"
Preprocess_Pragma,      "pragma"
Preprocess_Content,	    "__macro_content__"
Preprocess_Macro,       "__macro__"
Preprocess_Unsupported, "__unsupported__"
Spec_Alignas,           "alignas"
Spec_Const,             "const"
Spec_Consteval,         "consteval"
Spec_Constexpr,         "constexpr"
Spec_Constinit,         "constinit"
Spec_Explicit,          "explicit"
Spec_Extern,            "extern"
Spec_Final,             "final"
Spec_Global,            "global"
Spec_Inline,            "inline"
Spec_Internal_Linkage,  "internal"
Spec_LocalPersist,      "local_persist"
Spec_Mutable,           "mutable"
Spec_NeverInline,       "neverinline"
Spec_Override,          "override"
Spec_Static,            "static"
Spec_ThreadLocal,       "thread_local"
Spec_Volatile,          "volatile"
Spec_Virtual,           "virtual"
Star,                   "*"
Statement_End,          ";"
StaticAssert,           "static_assert"
String,                 "__string__"
Type_Unsigned,          "unsigned"
Type_Signed,            "signed"
Type_Short,             "short"
Type_Long,              "long"
Type_char,              "char"
Type_int,               "int"
Type_double,            "double"
Type_MS_int8,           "__int8"
Type_MS_int16,          "__int16"
Type_MS_int32,          "__int32"
Type_MS_int64,          "__int64"
Type_MS_W64,            "_W64"
Varadic_Argument,       "..."
__Attributes_Start,     "__attrib_start__"
